image_id,cov_dltrack,cov_ours,px_dltrack,px_ours
IMG_00001.tif,0.980513874614594,0.9976185211016041,24325,117574
IMG_00003.tif,0.03447491182159518,1.0,8789,103597
IMG_00004.tif,0.14561462919065357,1.0,5906,119247
IMG_00005.tif,0.9521817442333391,0.9861474309138455,17211,84894
IMG_00006.tif,0.9024509206194367,0.9913845840130505,16402,78464
IMG_00007.tif,0.3541828340835015,0.9988160498232184,6443,123316
IMG_00008.tif,0.30742334588488435,0.99986833905327,7436,113929
IMG_00009.tif,0.1375706698646565,0.9998550440410311,5837,117277
IMG_00010.tif,0.2683189655172414,0.9942855092355859,4640,111471
IMG_00013.tif,0.9991348545474208,0.9498025716310621,9247,49385
IMG_00014.tif,0.34361781537695946,0.9122454196847039,4019,58675
IMG_00015.tif,0.9295828185878552,0.9729387864617272,10523,52178
IMG_00016.tif,0.9943014637416664,1.0,26849,143262
IMG_00017.tif,0.9957903780068729,0.9967571125717549,23280,103303
IMG_00018.tif,0.9930614960555081,0.9988017746688688,10521,61758
IMG_00019.tif,0.9392173189009159,0.9973055338759431,9608,53814
IMG_00021.tif,0.046966731898238745,0.9961091425225064,6132,100749
IMG_00022.tif,0.8920081967213115,0.9933920060816935,9760,68402
IMG_00023.tif,0.3684300633453176,0.9895651734505673,5841,79158
IMG_00025.tif,0.24297066014669927,0.9956204235886938,3272,101608
IMG_00026.tif,0.22077270446562972,1.0,7972,162470
IMG_00027.tif,0.11942702152907272,1.0,11798,126613
IMG_00029.tif,0.18829029858676016,1.0,9411,114575
IMG_00030.tif,0.9108589951377634,0.9992700254187578,14808,76715
IMG_00031.tif,0.2582045494009377,0.9998804288618156,5759,75269
IMG_00032.tif,1.0,1.0,30169,137851
IMG_00034.tif,0.2361111111111111,0.9989935743593714,3384,116253
IMG_00035.tif,0.9381192677446684,1.0,27149,120795
IMG_00196.tif,0.2555471188728592,1.0,11853,95545
IMG_00197.tif,0.2976161616161616,0.980787201435353,12375,53506
IMG_00198.tif,0.9702373922286525,0.9706714007265805,25401,109279
IMG_00199.tif,1.0,0.9768325491846128,11642,78429
IMG_00200.tif,0.9834104938271605,0.9989130691618818,15552,84642
IMG_00201.tif,0.02772914666516067,1.0,17707,143768
IMG_00203.tif,0.15708926338355267,0.9986022106576061,16793,139506
IMG_00204.tif,0.29929030077728963,0.9903276950644039,14795,106593
IMG_00205.tif,0.18613500992720053,1.0,6044,101615
IMG_00206.tif,0.2669839381320642,0.9844490113029749,8405,79802
IMG_00207.tif,0.26412534762260054,0.9701533048504649,14743,99475
IMG_00208.tif,0.25964073829927486,0.9974931880108991,12136,100925
IMG_00210.tif,0.055050075276559536,0.9830117721646662,15277,69401
IMG_00211.tif,0.20595947556615019,0.9848830926417134,8390,81432
IMG_00212.tif,0.12061619141265159,0.9991461253423554,6102,62070
IMG_00213.tif,0.27640449438202247,0.9994365138993239,5785,63888
IMG_00214.tif,0.10575239121648929,0.9893540220812598,7423,103889
IMG_00215.tif,0.5333793738489871,0.9803364068769431,4344,75266
IMG_00216.tif,0.1201729106628242,1.0,3470,79404
IMG_00217.tif,0.15969334719334718,0.999379431116854,7696,117634
IMG_00218.tif,0.15075324675324675,0.9657686423202289,9625,75165
IMG_00219.tif,0.27151256012827363,0.9920979221247573,1871,94279
IMG_00222.tif,0.10798444291924045,1.0,4371,120595
IMG_00224.tif,0.02122854561878952,0.9973371077631705,2214,83368
IMG_00225.tif,0.16753437458283274,0.9985005697834822,7491,116711
IMG_00226.tif,0.1920061197169631,1.0,5229,80982
IMG_00227.tif,0.22069325901410905,1.0,5741,77612
IMG_00228.tif,0.9912096435381185,0.9892668092337965,30943,122983
IMG_00229.tif,0.993746155423416,0.9733561038526763,19508,83734
IMG_00230.tif,0.9853990486257929,0.9935494727395109,15136,71312
IMG_00231.tif,0.9693262287036388,1.0,28526,118959
IMG_00232.tif,0.909109688080975,0.997189866045428,19364,68680
